ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
BILL,2026050812,0.5,1,10741.24,0.5,1,11038.76,100,2,0.9865238486,0.0134761514,2026-05-08 12:00:00+00:00,1.0,148.76000000000022,-148.76000000000022,-0.013476151400000025,long,True,False,False,False,,,,,,
BILL,2026050813,1.0,2,25931.724000000737,0.0,0,25931.724000000737,100,2,1.0,0.0,2026-05-08 13:00:00+00:00,0.0,14892.964000000737,15190.484000000737,0.013476151400000025,long,True,False,False,False,,,,,,
BILL,2026050814,1.0,2,25931.724000000737,0.0,0,25931.724000000737,100,2,1.0,0.0,2026-05-08 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050815,0.6666666666,2,24934.624000000735,0.3333333333,1,26928.824000000735,100,3,0.962972761,0.037027239,2026-05-08 15:00:00+00:00,1.0,997.0999999999985,-997.1000000000022,-0.037027239000000045,long,True,False,False,False,,,,,,
BILL,2026050816,0.6666666666,2,22946.84300000073,0.3333333333,1,28916.605000000745,100,3,0.8967762294,0.1032237706,2026-05-08 16:00:00+00:00,0.0,1987.78100000001,-1987.7810000000063,-0.06619653159999994,long,True,False,False,False,,,,,,
BILL,2026050817,0.6666666666,2,20447.21900000073,0.3333333333,1,31416.229000000745,100,3,0.8254244645,0.1745755355,2026-05-08 17:00:00+00:00,0.0,2499.624,-2499.624,-0.07135176490000006,long,True,False,False,False,,,,,,
BILL,2026050818,0.6666666666,2,20447.21900000073,0.3333333333,1,31416.229000000745,100,3,0.8254244645,0.1745755355,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050819,0.6666666666,2,18456.13600000066,0.3333333333,1,33407.31200000081,100,3,0.7762289884,0.2237710116,2026-05-08 19:00:00+00:00,0.0,1991.0830000000678,-1991.0830000000678,-0.04919547609999997,long,True,False,False,False,,,,,,
BILL,2026050820,0.6666666666,2,14182.08500000052,0.3333333333,1,37681.36300000095,100,3,0.6881843419,0.3118156581,2026-05-08 20:00:00+00:00,0.0,4274.051000000138,-4274.051000000141,-0.08804464649999999,long,True,False,False,False,,,,,,
BILL,2026050821,1.0,2,30944.409000000673,0.0,0,30944.409000000673,100,2,1.0,0.0,2026-05-08 21:00:00+00:00,-1.0,-6736.954000000278,16762.324000000153,0.3118156581,long,False,True,False,False,,,,,,
BILL,2026050822,1.0,2,30944.409000000673,0.0,0,30944.409000000673,100,2,1.0,0.0,2026-05-08 22:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050823,0.5,1,9892.224,0.5,1,11887.776,100,2,0.9160670591,0.0839329409,2026-05-08 23:00:00+00:00,0.0,-19056.63300000067,-21052.185000000674,-0.08393294090000003,long,False,True,False,False,,,,,,
BILL,2026050901,0.5,1,8947.875554216862,0.5,1,12832.124445783136,100,2,0.8486513707,0.1513486293,2026-05-09 01:00:00+00:00,0.0,944.3484457831364,-944.3484457831382,-0.0674156884,long,True,False,False,False,,,,,,
BILL,2026050902,0.6666666666,2,28978.859554217765,0.3333333333,1,32863.10844578404,100,3,0.9409025945,0.0590974055,2026-05-09 02:00:00+00:00,1.0,20030.984000000906,20030.984000000903,0.09225122380000006,long,True,False,False,False,,,,,,
BILL,2026050903,0.6666666666,2,28978.859554217765,0.3333333333,1,32863.10844578404,100,3,0.9409025945,0.0590974055,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050904,0.6666666666,2,26997.777554217544,0.3333333333,1,34878.734445783826,100,3,0.8870234683,0.1129765317,2026-05-09 04:00:00+00:00,0.0,2015.6259999997856,-1981.0820000002204,-0.053879126200000016,long,True,False,False,False,,,,,,
BILL,2026050905,0.3333333333,1,8864.68327091634,0.6666666667,2,12915.31672908366,100,3,0.8431848965,0.1568151035,2026-05-09 05:00:00+00:00,0.0,-21963.417716700165,-18133.094283301205,-0.04383857180000006,long,False,True,False,False,,,,,,
BILL,2026050906,0.5,1,6599.083270916328,0.5,1,15180.916729083672,100,2,0.7173479832,0.2826520168,2026-05-09 06:00:00+00:00,-1.0,2265.6000000000113,-2265.6000000000113,-0.1258369132999999,long,True,True,False,False,,,,,,
BILL,2026050907,0.5,1,760.2276354581226,0.5,1,21019.772364541877,100,2,0.5180836315,0.4819163685,2026-05-09 07:00:00+00:00,0.0,5838.855635458205,-5838.855635458205,-0.1992643517,long,False,False,False,False,,,,,,
BILL,2026050908,0.5,1,3337.105670154404,0.5,1,18442.894329845596,100,2,0.5904713113,0.4095286887,2026-05-09 08:00:00+00:00,0.0,-2576.8780346962812,2576.8780346962812,0.07238767979999994,long,False,False,False,False,,,,,,
BILL,2026050909,0.5,1,8691.80786797905,0.5,1,13088.192132020948,100,2,0.8320476877,0.1679523123,2026-05-09 09:00:00+00:00,0.0,-5354.7021978246485,5354.702197824647,0.24157637640000007,long,False,True,False,False,,,,,,
BILL,2026050910,0.5,1,9392.177,0.5,1,12387.823,100,2,0.8790890861,0.1209109139,2026-05-09 10:00:00+00:00,0.0,-700.3691320209473,700.3691320209491,0.04704139839999999,long,False,True,False,False,,,,,,
BILL,2026050911,0.6666666666,2,27889.863999999998,0.3333333333,1,33878.584,100,3,0.91161496,0.08838504,2026-05-09 11:00:00+00:00,1.0,21490.761000000002,18497.686999999998,0.032525873899999946,long,True,False,False,False,,,,,,
BILL,2026050912,0.6666666666,2,27889.863999999998,0.3333333333,1,33878.584,100,3,0.91161496,0.08838504,2026-05-09 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050913,0.6666666666,2,27889.863999999998,0.3333333333,1,33878.584,100,3,0.91161496,0.08838504,2026-05-09 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
BILL,2026050914,0.5,1,5902.391999999995,0.5,1,15877.608000000004,100,2,0.6858715746,0.3141284254,2026-05-09 14:00:00+00:00,-1.0,-18000.976,-21987.472,-0.22574338539999994,long,False,True,False,False,,,,,,
