ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
WIF,2026050614,0,0,-270.9800000000001,1,1,270.9800000000001,100,1,0,1,2026-05-06 14:00:00+00:00,,,,,short,False,False,False,False,0.2195,-0.0013667425968109104,0.0031890660592255315,0.015945330296127658,-0.010022779043280194,-0.006378132118451063
WIF,2026050823,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-08 23:00:00+00:00,0.0,5479.7782,6021.738200000001,1.0,long,True,False,False,False,0.2255,0.0,0.022172949002217335,0.012860310421285881,0.009756097560975618,
WIF,2026050901,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 01:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2257,0.021267168808152492,0.026140894993353925,-0.0008861320336730483,0.013291980505095058,
WIF,2026050902,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2305,0.019522776572667988,-0.009110629067245246,-0.017787418655097698,,
WIF,2026050903,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.235,-0.014468085106382866,-0.027234042553191395,-0.04255319148936165,,
WIF,2026050904,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2316,-0.013816925734024266,-0.026338514680483538,-0.029792746113989632,,
WIF,2026050905,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2284,0.0008756567425569628,-0.008756567425569184,-0.0030647985989491477,,
WIF,2026050906,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 06:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2286,-0.01356080489938749,-0.015748031496062964,-0.00393700787401563,,
WIF,2026050907,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 07:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2255,0.003991130820399036,-0.0035476718403547602,0.014190687361419041,,
WIF,2026050908,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 08:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2264,-0.006183745583038802,0.005742049469964705,,,
WIF,2026050909,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 09:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.225,-0.0013333333333332975,0.01200000000000001,,,
WIF,2026050910,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 10:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2247,0.013351134846461887,0.017801513128615776,,,
WIF,2026050911,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 11:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2277,0.0,,,,
WIF,2026050912,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 12:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2277,0.004391743522178082,,,,
WIF,2026050913,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 13:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,0.2287,,,,,
WIF,2026050914,1,1,5750.7582,0,0,5750.7582,100,1,1,0,2026-05-09 14:00:00+00:00,0.0,0.0,0.0,0.0,long,False,False,False,False,,,,,,
