ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,short_diffusion_event,short_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
CL,2026050816,0.3333333333,1,-421766.656,0.6666666667,2,431758.68,100,3,0.0115713064,0.9884286936,2026-05-08 16:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050817,0.5,1,-269277.376,0.5,1,284256.96,100,2,0.026348667,0.973651333,2026-05-08 17:00:00+00:00,-1.0,-147501.71999999997,152489.28000000003,0.0147773606,short,False,False,False,True,,,,,,
CL,2026050818,0.5,1,-269277.376,0.5,1,284256.96,100,2,0.026348667,0.973651333,2026-05-08 18:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050819,0.5,1,-269277.376,0.5,1,284256.96,100,2,0.026348667,0.973651333,2026-05-08 19:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050820,0.5,1,-269277.376,0.5,1,284256.96,100,2,0.026348667,0.973651333,2026-05-08 20:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050821,0.5,1,-547911.697,0.5,1,562891.281,100,2,0.01330593,0.98669407,2026-05-08 21:00:00+00:00,0.0,278634.32099999994,-278634.32100000005,-0.013042736999999999,short,False,False,True,False,,,,,,
CL,2026050822,1.0,1,12485.087,0.0,0,12485.087,100,1,1.0,0.0,2026-05-08 22:00:00+00:00,-1.0,-550406.1939999999,560396.784,0.98669407,long,False,True,False,False,,,,,,
CL,2026050823,0.5,1,-352408.573,0.5,1,377378.747,100,2,0.0330837046,0.9669162954,2026-05-08 23:00:00+00:00,1.0,364893.66,-364893.66,-0.9669162954,short,False,False,True,False,,,,,,
CL,2026050901,0.6666666666,2,-52262.36599999999,0.3333333333,1,677524.954,100,3,0.4614314087,0.5385685913,2026-05-09 01:00:00+00:00,1.0,300146.20700000005,300146.207,0.4283477041,short,False,False,False,False,,,,,,
CL,2026050902,0.6666666666,2,-52262.36599999999,0.3333333333,1,677524.954,100,3,0.4614314087,0.5385685913,2026-05-09 02:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050903,0.6666666666,2,-52262.36599999999,0.3333333333,1,677524.954,100,3,0.4614314087,0.5385685913,2026-05-09 03:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050904,0.6666666666,2,-52262.36599999999,0.3333333333,1,677524.954,100,3,0.4614314087,0.5385685913,2026-05-09 04:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
CL,2026050905,0.6666666666,2,-52262.36599999999,0.3333333333,1,677524.954,100,3,0.4614314087,0.5385685913,2026-05-09 05:00:00+00:00,0.0,0.0,0.0,0.0,short,False,False,False,False,,,,,,
