ccy,dataVersion,longRatio,longTraders,netNotionalUsdt,shortRatio,shortTraders,totalNotionalUsdt,tradersQualified,tradersWithPosition,weightedLongRatio,weightedShortRatio,ts,d_traders_with_position,d_total_notional_usdt,d_net_notional_usdt,d_weighted_long_ratio,smartmoney_direction,long_diffusion_event,long_exit_event,close,fwd_ret_1h,fwd_ret_3h,fwd_ret_6h,fwd_ret_12h,fwd_ret_24h
ETH,2026050805,0.7608695652,35,38421053.80515944,0.3043478261,14,53153672.45606653,100,46,0.8614148564,0.1385851436,2026-05-08 05:00:00+00:00,,,,,long,False,False,2275.23,-0.0003604031240798111,0.0030941926750263082,0.00846947341587434,0.012767939944533069,0.017378462836724173
ETH,2026050806,0.7826086956,36,40307590.20630668,0.2826086957,13,52249275.57467376,100,46,0.8857239144,0.1142760856,2026-05-08 06:00:00+00:00,0.0,-904396.8813927695,1886536.401147239,0.02430905799999994,long,False,True,2274.41,0.0025808891097032216,0.003882325526180397,0.004106559503343821,0.018607023359904495,0.017828799556808272
ETH,2026050807,0.7872340425,37,42609022.78849515,0.2340425532,11,54046496.75686223,100,47,0.8941885722,0.1058114278,2026-05-08 07:00:00+00:00,1.0,1797221.1821884736,2301432.582188472,0.008464657800000053,long,True,False,2280.28,0.0008726998438788325,0.002903152244461138,-0.0021313172066589336,0.015401617345238261,0.014892907888504725
ETH,2026050808,0.7959183673,39,46428778.08453326,0.2448979592,12,57957852.05290034,100,49,0.9005391542,0.0994608458,2026-05-08 08:00:00+00:00,2.0,3911355.296038106,3819755.296038106,0.006350581999999938,long,True,False,2282.27,0.00042501544514883527,0.0053586998908981,0.001161124669736724,0.01049393805290344,0.0155985049972176
ETH,2026050809,0.8076923076,42,47902693.41141325,0.2115384615,11,59340167.37978034,100,52,0.9036278925,0.0963721075,2026-05-08 09:00:00+00:00,3.0,1382315.3268800005,1473915.326879993,0.0030887383000000046,long,True,False,2283.24,0.0016029852315131432,0.00022336679455525754,-0.0007445559818503034,0.011260314290219231,
ETH,2026050810,0.8039215686,41,50119742.93190942,0.2352941176,12,61785390.10027649,100,51,0.9055954235,0.0944045765,2026-05-08 10:00:00+00:00,-1.0,2445222.7204961553,2217049.5204961672,0.0019675310000000223,long,True,True,2286.9,0.003323276050548829,-0.005019895928986884,0.001045082863264657,0.010105382832655607,
ETH,2026050811,0.8113207547,43,54001458.65050754,0.2452830189,13,65894595.21887462,100,53,0.9097563576,0.0902436424,2026-05-08 11:00:00+00:00,2.0,4109205.118598126,3881715.71859812,0.004160934099999958,long,True,False,2294.5,-0.004685116583133531,-0.004175201568969222,0.004262366528655637,0.005160165613423473,
ETH,2026050812,0.8,40,54683951.87803249,0.26,13,66622685.04639957,100,50,0.9104003901,0.0895996099,2026-05-08 12:00:00+00:00,-3.0,728089.8275249526,682493.2275249511,0.0006440325000000025,long,True,True,2283.75,-0.0036475095785439837,-0.0009677066228790387,0.014441160372194783,0.010627257799671552,
ETH,2026050813,0.8,40,54644155.89235901,0.26,13,66582889.0607261,100,50,0.9103468373,0.0896531627,2026-05-08 13:00:00+00:00,0.0,-39795.985673472285,-39795.985673479736,-5.3552799999967426e-05,long,False,True,2275.42,0.0041750533967355175,0.006095577959233767,0.017570382610682778,0.01455555457893487,
ETH,2026050814,0.7959183673,39,54186055.924289055,0.2653061224,13,66124789.09265614,100,49,0.9097257372,0.0902742628,2026-05-08 14:00:00+00:00,-1.0,-458099.9680699557,-458099.9680699557,-0.0006211000999999383,long,False,True,2284.92,-0.0014792640442554683,0.008472944348161038,0.009321989391313457,0.01401799625369815,
ETH,2026050815,0.7959183673,39,55257517.31102018,0.2448979592,12,66968119.47938726,100,49,0.9125658428,0.0874341572,2026-05-08 15:00:00+00:00,0.0,843330.386731118,1071461.3867311254,0.0028401055999999203,long,True,False,2281.54,0.0033968284579712904,0.015423792701420913,0.012013815230063951,0.013758251005899558,
